department,position,scale_point,annual_rat(€)
#MANAGEMENT
MANAGEMENT_LEVEL,PRESIDENT,,"240,716"
MANAGEMENT_LEVEL,VICE_PRESIDENT,,"184,171"

#ACADEMIC
ACADEMIC,FULL_PROFESSOR(FORMERLY PROFESSOR),1,"140,068"
ACADEMIC,FULL_PROFESSOR(FORMERLY PROFESSOR),2,"148,055"
ACADEMIC,FULL_PROFESSOR(FORMERLY PROFESSOR),3,"156,042"
ACADEMIC,FULL_PROFESSOR(FORMERLY PROFESSOR),4,"164,028"
ACADEMIC,FULL_PROFESSOR(FORMERLY PROFESSOR),5,"172,016"
ACADEMIC,FULL_PROFESSOR(FORMERLY PROFESSOR),6,"177,078"

ACADEMIC,PROFESSOR(FORMERLY_ASSOCIATE_PROFESSOR),1,"101,447"
ACADEMIC,PROFESSOR(FORMERLY_ASSOCIATE_PROFESSOR),2,"108,276"
ACADEMIC,PROFESSOR(FORMERLY_ASSOCIATE_PROFESSOR),3,"115,107"
ACADEMIC,PROFESSOR(FORMERLY_ASSOCIATE_PROFESSOR),4,"121,935"
ACADEMIC,PROFESSOR(FORMERLY_ASSOCIATE_PROFESSOR),5,"128,770"
ACADEMIC,PROFESSOR(FORMERLY_ASSOCIATE_PROFESSOR),6,"135,598"

ACADEMIC,ASSOCIATE_PROFESSOR_A(FORMERLY_SENIOR_LECTURER),1,"87,548"
ACADEMIC,ASSOCIATE_PROFESSOR_A(FORMERLY_SENIOR_LECTURER),2,"91,018"
ACADEMIC,ASSOCIATE_PROFESSOR_A(FORMERLY_SENIOR_LECTURER),3,"94,492"
ACADEMIC,ASSOCIATE_PROFESSOR_A(FORMERLY_SENIOR_LECTURER),4,"97,988"
ACADEMIC,ASSOCIATE_PROFESSOR_A(FORMERLY_SENIOR_LECTURER),5,"101,461"
ACADEMIC,ASSOCIATE_PROFESSOR_A(FORMERLY_SENIOR_LECTURER),6,"104,948"
ACADEMIC,ASSOCIATE_PROFESSOR_A(FORMERLY_SENIOR_LECTURER),7,"108,430"
ACADEMIC,ASSOCIATE_PROFESSOR_A(FORMERLY_SENIOR_LECTURER),8,"111,916"
ACADEMIC,ASSOCIATE_PROFESSOR_A(FORMERLY_SENIOR_LECTURER),9,"115,395"

ACADEMIC,ASSOCIATE_PROFESSOR_B(FORMERLY_LECTURER),1,"62,069"
ACADEMIC,ASSOCIATE_PROFESSOR_B(FORMERLY_LECTURER),2,"73,093"
